GroupAddressId,RawAddress,Name,DatapointType,GroupRangeId,GroupRangeName,Attributes
P-07BC-0_GA-965,2506,D51 ON/Off Info ,DPST-1-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-965"", ""Address"": ""2506"", ""Name"": ""D51 ON/Off Info "", ""DatapointType"": ""DPST-1-1"", ""Puid"": ""994""}"
P-07BC-0_GA-966,2507,D51 Dimming ,DPST-3-7,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-966"", ""Address"": ""2507"", ""Name"": ""D51 Dimming "", ""DatapointType"": ""DPST-3-7"", ""Puid"": ""995""}"
P-07BC-0_GA-967,2508,D51 Dimming Info ,DPST-5-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-967"", ""Address"": ""2508"", ""Name"": ""D51 Dimming Info "", ""DatapointType"": ""DPST-5-1"", ""Puid"": ""996""}"
P-07BC-0_GA-968,2509,D52 ON/Off,DPST-1-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-968"", ""Address"": ""2509"", ""Name"": ""D52 ON/Off"", ""DatapointType"": ""DPST-1-1"", ""Puid"": ""997""}"
P-07BC-0_GA-969,2510,D52 ON/Off Info ,DPST-1-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-969"", ""Address"": ""2510"", ""Name"": ""D52 ON/Off Info "", ""DatapointType"": ""DPST-1-1"", ""Puid"": ""998""}"
P-07BC-0_GA-970,2511,D52 Dimming ,DPST-3-7,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-970"", ""Address"": ""2511"", ""Name"": ""D52 Dimming "", ""DatapointType"": ""DPST-3-7"", ""Puid"": ""999""}"
P-07BC-0_GA-971,2512,D52 Dimming Info ,DPST-5-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-971"", ""Address"": ""2512"", ""Name"": ""D52 Dimming Info "", ""DatapointType"": ""DPST-5-1"", ""Puid"": ""1000""}"
P-07BC-0_GA-972,2513,D53 ON/Off,DPST-1-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-972"", ""Address"": ""2513"", ""Name"": ""D53 ON/Off"", ""DatapointType"": ""DPST-1-1"", ""Puid"": ""1001""}"
P-07BC-0_GA-973,2514,D53 ON/Off Info ,DPST-1-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-973"", ""Address"": ""2514"", ""Name"": ""D53 ON/Off Info "", ""DatapointType"": ""DPST-1-1"", ""Puid"": ""1002""}"
P-07BC-0_GA-974,2515,D53 Dimming ,DPST-3-7,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-974"", ""Address"": ""2515"", ""Name"": ""D53 Dimming "", ""DatapointType"": ""DPST-3-7"", ""Puid"": ""1003""}"
P-07BC-0_GA-975,2516,D53 Dimming Info ,DPST-5-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-975"", ""Address"": ""2516"", ""Name"": ""D53 Dimming Info "", ""DatapointType"": ""DPST-5-1"", ""Puid"": ""1004""}"
P-07BC-0_GA-976,2517,D54 ON/Off,DPST-1-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-976"", ""Address"": ""2517"", ""Name"": ""D54 ON/Off"", ""DatapointType"": ""DPST-1-1"", ""Puid"": ""1005""}"
P-07BC-0_GA-977,2518,D54 ON/Off Info ,DPST-1-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-977"", ""Address"": ""2518"", ""Name"": ""D54 ON/Off Info "", ""DatapointType"": ""DPST-1-1"", ""Puid"": ""1006""}"
P-07BC-0_GA-978,2519,D54 Dimming ,DPST-3-7,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-978"", ""Address"": ""2519"", ""Name"": ""D54 Dimming "", ""DatapointType"": ""DPST-3-7"", ""Puid"": ""1007""}"
P-07BC-0_GA-979,2520,D54 Dimming Info ,DPST-5-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-979"", ""Address"": ""2520"", ""Name"": ""D54 Dimming Info "", ""DatapointType"": ""DPST-5-1"", ""Puid"": ""1008""}"
P-07BC-0_GA-980,2521,D55 ON/Off,DPST-1-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-980"", ""Address"": ""2521"", ""Name"": ""D55 ON/Off"", ""DatapointType"": ""DPST-1-1"", ""Puid"": ""1009""}"
P-07BC-0_GA-981,2522,D55 ON/Off Info ,DPST-1-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-981"", ""Address"": ""2522"", ""Name"": ""D55 ON/Off Info "", ""DatapointType"": ""DPST-1-1"", ""Puid"": ""1010""}"
P-07BC-0_GA-982,2523,D55 Dimming ,DPST-3-7,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-982"", ""Address"": ""2523"", ""Name"": ""D55 Dimming "", ""DatapointType"": ""DPST-3-7"", ""Puid"": ""1011""}"
P-07BC-0_GA-983,2524,D55 Dimming Info ,DPST-5-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-983"", ""Address"": ""2524"", ""Name"": ""D55 Dimming Info "", ""DatapointType"": ""DPST-5-1"", ""Puid"": ""1012""}"
P-07BC-0_GA-984,2525,D56 ON/Off,DPST-1-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-984"", ""Address"": ""2525"", ""Name"": ""D56 ON/Off"", ""DatapointType"": ""DPST-1-1"", ""Puid"": ""1013""}"
P-07BC-0_GA-985,2526,D56 ON/Off Info ,DPST-1-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-985"", ""Address"": ""2526"", ""Name"": ""D56 ON/Off Info "", ""DatapointType"": ""DPST-1-1"", ""Puid"": ""1014""}"
P-07BC-0_GA-986,2527,D56 Dimming ,DPST-3-7,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-986"", ""Address"": ""2527"", ""Name"": ""D56 Dimming "", ""DatapointType"": ""DPST-3-7"", ""Puid"": ""1015""}"
P-07BC-0_GA-987,2528,D56 Dimming Info ,DPST-5-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-987"", ""Address"": ""2528"", ""Name"": ""D56 Dimming Info "", ""DatapointType"": ""DPST-5-1"", ""Puid"": ""1016""}"
